protocol_code,protocol,transport,protocol_full_name
109,snp,snp,Sitara Networks Protocol
110,compaq-peer,compaq-peer,Compaq Peer Protocol
111,ipx-in-ip,ipx-in-ip,IPX in IP
112,vrrp,vrrp,Virtual Router Redundancy Protocol
113,pgm,pgm,PGM Reliable Transport Protocol
114,none,none,any 0-hop protocol
115,l2tp,l2tp,Layer Two Tunneling Protocol
116,ddx,ddx,D-II Data Exchange (DDX)
117,iatp,iatp,Interactive Agent Transfer Protocol
118,stp,stp,Schedule Transfer Protocol
119,srp,srp,SpectraLink Radio Protocol
120,uti,uti,UTI
121,smp,smp,Simple Message Protocol
122,sm (deprecated),sm (deprecated),Simple Multicast Protocol
123,ptp,ptp,Performance Transparency Protocol
124,isis over ipv4,isis over ipv4,
125,fire,fire,
126,crtp,crtp,Combat Radio Transport Protocol
127,crudp,crudp,Combat Radio User Datagram
128,sscopmce,sscopmce,
129,iplt,iplt,
130,sps,sps,Secure Packet Shield
131,pipe,pipe,Private IP Encapsulation within IP
132,sctp,sctp,Stream Control Transmission Protocol
133,fc,fc,Fibre Channel
134,rsvp-e2e-ignore,rsvp-e2e-ignore,
135,mobility header,mobility header,
136,udplite,udplite,
137,mpls-in-ip,mpls-in-ip,
138,manet,manet,MANET Protocols
139,hip,hip,Host Identity Protocol
140,shim6,shim6,Shim6 Protocol
141,wesp,wesp,Wrapped Encapsulating Security Payload
142,rohc,rohc,Robust Header Compression
143,unassigned,unassigned,Unassigned
144,unassigned,unassigned,Unassigned
145,unassigned,unassigned,Unassigned
146,unassigned,unassigned,Unassigned
147,unassigned,unassigned,Unassigned
148,unassigned,unassigned,Unassigned
149,unassigned,unassigned,Unassigned
150,unassigned,unassigned,Unassigned
151,unassigned,unassigned,Unassigned
152,unassigned,unassigned,Unassigned
153,unassigned,unassigned,Unassigned
154,unassigned,unassigned,Unassigned
155,unassigned,unassigned,Unassigned
156,unassigned,unassigned,Unassigned
157,unassigned,unassigned,Unassigned
158,unassigned,unassigned,Unassigned
159,unassigned,unassigned,Unassigned
160,unassigned,unassigned,Unassigned
161,unassigned,unassigned,Unassigned
162,unassigned,unassigned,Unassigned
163,unassigned,unassigned,Unassigned
164,unassigned,unassigned,Unassigned
165,unassigned,unassigned,Unassigned
166,unassigned,unassigned,Unassigned
167,unassigned,unassigned,Unassigned
168,unassigned,unassigned,Unassigned
169,unassigned,unassigned,Unassigned
170,unassigned,unassigned,Unassigned
171,unassigned,unassigned,Unassigned
172,unassigned,unassigned,Unassigned
173,unassigned,unassigned,Unassigned
174,unassigned,unassigned,Unassigned
175,unassigned,unassigned,Unassigned
176,unassigned,unassigned,Unassigned
177,unassigned,unassigned,Unassigned
178,unassigned,unassigned,Unassigned
179,unassigned,unassigned,Unassigned
180,unassigned,unassigned,Unassigned
181,unassigned,unassigned,Unassigned
182,unassigned,unassigned,Unassigned
183,unassigned,unassigned,Unassigned
184,unassigned,unassigned,Unassigned
185,unassigned,unassigned,Unassigned
186,unassigned,unassigned,Unassigned
187,unassigned,unassigned,Unassigned
188,unassigned,unassigned,Unassigned
189,unassigned,unassigned,Unassigned
190,unassigned,unassigned,Unassigned
191,unassigned,unassigned,Unassigned
192,unassigned,unassigned,Unassigned
193,unassigned,unassigned,Unassigned
194,unassigned,unassigned,Unassigned
195,unassigned,unassigned,Unassigned
196,unassigned,unassigned,Unassigned
197,unassigned,unassigned,Unassigned
198,unassigned,unassigned,Unassigned
199,unassigned,unassigned,Unassigned
200,unassigned,unassigned,Unassigned
201,unassigned,unassigned,Unassigned
202,unassigned,unassigned,Unassigned
203,unassigned,unassigned,Unassigned
204,unassigned,unassigned,Unassigned
205,unassigned,unassigned,Unassigned
206,unassigned,unassigned,Unassigned
207,unassigned,unassigned,Unassigned
208,unassigned,unassigned,Unassigned
209,unassigned,unassigned,Unassigned
210,unassigned,unassigned,Unassigned
211,unassigned,unassigned,Unassigned
212,unassigned,unassigned,Unassigned
213,unassigned,unassigned,Unassigned
214,unassigned,unassigned,Unassigned
215,unassigned,unassigned,Unassigned
216,unassigned,unassigned,Unassigned
217,unassigned,unassigned,Unassigned
218,unassigned,unassigned,Unassigned
219,unassigned,unassigned,Unassigned
220,unassigned,unassigned,Unassigned
221,unassigned,unassigned,Unassigned
222,unassigned,unassigned,Unassigned
223,unassigned,unassigned,Unassigned
224,unassigned,unassigned,Unassigned
225,unassigned,unassigned,Unassigned
226,unassigned,unassigned,Unassigned
227,unassigned,unassigned,Unassigned
228,unassigned,unassigned,Unassigned
229,unassigned,unassigned,Unassigned
230,unassigned,unassigned,Unassigned
231,unassigned,unassigned,Unassigned
232,unassigned,unassigned,Unassigned
233,unassigned,unassigned,Unassigned
234,unassigned,unassigned,Unassigned
235,unassigned,unassigned,Unassigned
236,unassigned,unassigned,Unassigned
237,unassigned,unassigned,Unassigned
238,unassigned,unassigned,Unassigned
239,unassigned,unassigned,Unassigned
240,unassigned,unassigned,Unassigned
241,unassigned,unassigned,Unassigned
242,unassigned,unassigned,Unassigned
243,unassigned,unassigned,Unassigned
244,unassigned,unassigned,Unassigned
245,unassigned,unassigned,Unassigned
246,unassigned,unassigned,Unassigned
247,unassigned,unassigned,Unassigned
248,unassigned,unassigned,Unassigned
249,unassigned,unassigned,Unassigned
250,unassigned,unassigned,Unassigned
251,unassigned,unassigned,Unassigned
252,unassigned,unassigned,Unassigned
253,none,none,Use for experimentation and testing
254,none,none,Use for experimentation and testing
255,reserved,reserved,Reserved
