eventName,errorCode,action,status
DeleteUser,AccessDenied,deleted,failure
DeleteUser,success,deleted,success
DeleteUser,*,deleted,failure
DeleteUserPolicy,AccessDenied,modified,failure
DeleteUserPolicy,success,modified,success
DeleteUserPolicy,*,modified,failure
PutUserPolicy,AccessDenied,modified,failure
PutUserPolicy,success,modified,success
PutUserPolicy,*,modified,failure
CreateUser,AccessDenied,created,failure
CreateUser,success,created,success
CreateUser,*,created,failure
CreateSecurityGroup,Client.UnauthorizedOperation,created,failure
CreateSecurityGroup,success,created,success
CreateSecurityGroup,*,created,failure
DeleteSecurityGroup,success,deleted,success
DeleteSecurityGroup,*,deleted,failure
RevokeSecurityGroupIngress,Client.UnauthorizedOperation,deleted,failure
RevokeSecurityGroupIngress,success,deleted,success
RevokeSecurityGroupIngress,*,deleted,failure
RevokeSecurityGroupEgress,success,deleted,success
RevokeSecurityGroupEgress,*,deleted,failure
AuthorizeSecurityGroupEgress,success,modified,success
AuthorizeSecurityGroupEgress,*,modified,failure
AuthorizeSecurityGroupIngress,Client.UnauthorizedOperation,modified,failure
AuthorizeSecurityGroupIngress,success,modified,success
AuthorizeSecurityGroupIngress,*,modified,failure
AssumeRole,success,success,success
AssumeRole,*,failure,failure
AssumeRoleWithSAML,success,success,success
AssumeRoleWithSAML,*,failure,failure
AssumeRoleWithWebIdentity,success,success,success
AssumeRoleWithWebIdentity,*,failure,failure
ConsoleLogin,success,success,success
ConsoleLogin,*,failure,failure
GetFederationToken,success,success,success
GetFederationToken,*,failure,failure
GetSessionToken,success,success,success
GetSessionToken,*,failure,failure
DeleteEndpoint,success,deleted,success
DeleteEndpoint,*,unknown,failure
AddClientIDToOpenIDConnectProvider,success,created,success
AddClientIDToOpenIDConnectProvider,*,unknown,failure
AddRoleToInstanceProfile,success,created,success
AddRoleToInstanceProfile,*,unknown,failure
AddUserToGroup,success,created,success
AddUserToGroup,*,unknown,failure
AttachGroupPolicy,success,modified,success
AttachGroupPolicy,*,unknown,failure
AttachRolePolicy,success,modified,success
AttachRolePolicy,*,modified,failure
AttachUserPolicy,success,modified,success
AttachUserPolicy,*,unknown,failure
ChangePassword,success,modified,success
ChangePassword,*,unknown,failure
CreateAccessKey,success,modified,success
CreateAccessKey,*,modified,failure
CreateAccountAlias,success,created,success
CreateAccountAlias,*,unknown,failure
CreateGroup,success,created,success
CreateGroup,*,unknown,failure
CreateInstanceProfile,success,created,success
CreateInstanceProfile,*,unknown,failure
CreateLoginProfile,success,modified,success
CreateLoginProfile,*,unknown,failure
CreateOpenIDConnectProvider,success,created,success
CreateOpenIDConnectProvider,*,unknown,failure
CreatePolicy,success,created,success
CreatePolicy,*,created,failure
CreatePolicyVersion,success,created,success
CreatePolicyVersion,*,unknown,failure
CreateRole,success,created,success
CreateRole,*,unknown,failure
CreateSAMLProvider,success,created,success
CreateSAMLProvider,*,unknown,failure
CreateVirtualMFADevice,success,modified,success
CreateVirtualMFADevice,*,unknown,failure
DeactivateMFADevice,success,modified,success
DeactivateMFADevice,*,unknown,failure
DeleteAccessKey,success,deleted,success
DeleteAccessKey,*,unknown,failure
DeleteAccountAlias,success,deleted,success
DeleteAccountAlias,*,unknown,failure
DeleteAccountPasswordPolicy,success,deleted,success
DeleteAccountPasswordPolicy,*,unknown,failure
DeleteGroup,success,deleted,success
DeleteGroup,*,unknown,failure
DeleteGroupPolicy,success,deleted,success
DeleteGroupPolicy,*,unknown,failure
DeleteInstanceProfile,success,deleted,success
DeleteInstanceProfile,*,unknown,failure
DeleteLoginProfile,success,modified,success
DeleteLoginProfile,*,modified,failure
DeleteNetworkInterface,success,deleted,success
DeleteNetworkInterface,*,deleted,failure
DeleteOpenIDConnectProvider,success,deleted,success
DeleteOpenIDConnectProvider,*,unknown,failure
DeletePolicy,success,deleted,success
DeletePolicy,*,unknown,failure
DeletePolicyVersion,success,deleted,success
DeletePolicyVersion,*,unknown,failure
DeleteRole,success,deleted,success
DeleteRole,*,unknown,failure
DeleteRolePolicy,success,deleted,success
DeleteRolePolicy,*,unknown,failure
DeleteSAMLProvider,success,deleted,success
DeleteSAMLProvider,*,unknown,failure
DeleteServerCertificate,success,deleted,success
DeleteServerCertificate,*,unknown,failure
DeleteSigningCertificate,success,deleted,success
DeleteSigningCertificate,*,unknown,failure
DeleteSSHPublicKey,success,deleted,success
DeleteSSHPublicKey,*,unknown,failure
DeleteVirtualMFADevice,success,deleted,success
DeleteVirtualMFADevice,*,unknown,failure
DetachGroupPolicy,success,modified,success
DetachGroupPolicy,*,unknown,failure
DetachRolePolicy,success,modified,success
DetachRolePolicy,*,unknown,failure
DetachUserPolicy,success,modified,success
DetachUserPolicy,*,unknown,failure
EnableMFADevice,success,modified,success
EnableMFADevice,*,unknown,failure
GetAccessKeyLastUsed,success,read,success
GetAccessKeyLastUsed,*,unknown,failure
GetAccountAuthorizationDetails,success,read,success
GetAccountAuthorizationDetails,*,unknown,failure
