productId,vendorName,productName,notes,"regex_field","regex_pattern","default_sourcetype_search","extended_fields","term_fields",eventtypeId,app,appid,path
"AWS__Billing_Logs",AWS,"Billing Logs",,sourcetype,"^aws.*billing.*$","sourcetype=aws*billing*",,,DS034ApplicationLogs,,,
"AWS__CloudTrail",AWS,CloudTrail,,sourcetype,"^aws:cloudtrail$|^aws:asl*","sourcetype=aws:cloudtrail*",,,"VendorSpecific-aws-cloudtrail",,,
"AWS__CloudWatch",AWS,CloudWatch,,sourcetype,"^aws:cloudwatch$","sourcetype=aws:cloudwatch",,,"DS022HostPerformance-ET01General",,,
"AWS__CloudWatch_EKS",AWS,EKS,,sourcetype,"^aws:cloudwatch.*$","sourcetype=aws:cloudwatch*",,"TERM(k8s)","VendorSpecific-aws-cloudwatch-eks",,,
"AWS__Config",AWS,Config,,sourcetype,"^aws:config$","sourcetype=aws:config",,,"DS015ConfigurationManagement-ET01General|VendorSpecific-aws-config",,,
"AWS__Description",AWS,Description,,sourcetype,"^aws:description$","sourcetype=aws:description",,,"DS015ConfigurationManagement-ET01General|VendorSpecific-aws-description",,,
"AWS__Elastic_Load_Balancer",AWS,"Elastic Load Balancer (ELB)",,sourcetype,"^aws:elb:accesslogs$","sourcetype=""aws:elb:accesslogs""",,,"DS031ApplicationLoadBalancer-ET01General",,,
"AWS__S3",AWS,S3,,sourcetype,"^aws:s3:accesslogs$","sourcetype=aws*s3*access",,,"DS014WebServer-ET01Access|VendorSpecific-aws-s3-access",,,
"AWS__Securityhub",AWS,Securityhub,,sourcetype,"^aws:securityhub:finding$","sourcetype=aws:securityhub:finding",,,"DS020HostIntrustionDetection-ET01SigDetected|VendorSpecific-aws-securityhub",,,
"AWS__Securityhub_Firehose",AWS,"Securityhub (Firehose)",,sourcetype,"^aws:securityhub:firehose$","sourcetype=aws:securityhub:firehose",,,"DS020HostIntrustionDetection-ET01SigDetected|VendorSpecific-aws-securityhub",,,
"AWS__VPC_Flow_Logs",AWS,"VPC Flow Logs",,sourcetype,"^aws:cloudwatchlogs:vpcflow$","sourcetype=aws*vpcflow",,,"DS010NetworkCommunication-ET01Traffic|VendorSpecific-aws-vpcflow",,,
"Apache__Web_Server",Apache,"Web Server",,sourcetype,"^(access_combined|apache:access.*)$","sourcetype=access_combined OR sourcetype=""apache:access*""",,,"DS014WebServer-ET01Access",,,
"Aruba__Networks_AAA",Aruba,"Networks (AAA)",,sourcetype,"^aruba:aaa$","sourcetype=aruba:aaa",,,"DS028NetworkDeviceAssociation-ET01General",,,
"Aruba__Networks_Authentication",Aruba,"Networks (Auth)",,sourcetype,"^aruba:.*$","sourcetype=aruba:*",,"TERM(Authentication) OR TERM(Authenticated) OR TERM(logged)","DS003Authentication-ET01Success|DS003Authentication-ET02Failure",,,
"Aruba__Networks_IDS",Aruba,"Networks (IDS)",,sourcetype,"^aruba:.*$","sourcetype=aruba:*",,"TERM(ids)","DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Aruba__Networks_Traffic",Aruba,"Networks (Traffic)",,sourcetype,"^aruba:.*$","sourcetype=aruba:*","transport=""tcp"" OR transport=""udp""",,"DS010NetworkCommunication-ET01Traffic",,,
"Azure__AKS",Azure,AKS,,sourcetype,"^mscs:storage:blob.*$","sourcetype=mscs:storage:blob*",,"TERM(k8s)","VendorSpecific-azure-aks-audit",,,
"Azure__Active_Directory",Azure,"Active Directory Sign-In",,sourcetype,"^(ms:aad:signin|azure:aad:signin|azure:monitor:aad)$","sourcetype=ms:aad:signin OR sourcetype=azure:aad:signin OR sourcetype=azure:monitor:aad",,,"DS003Authentication-ET01Success|DS003Authentication-ET02Failure",,,
"Azure__Active_Directory_Audit",Azure,"Active Directory Audit",,sourcetype,"^ms:aad:audit$","sourcetype=ms:aad:audit",,,"VendorSpecific-azure-ad-audit",,,
"Azure__Audit",Azure,"Azure Audit",,sourcetype,"^mscs:azure:audit$","sourcetype=mscs:azure:audit",,,"VendorSpecific-azure-audit",,,
"Azure__Defender_Advanced_Hunting",Azure,"Defender Advanced Hunting",,sourcetype,"^mscs:azure:eventhub:defender:advancedhunting$","sourcetype=mscs:azure:eventhub:defender:advancedhunting",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS009EndPointIntel-ET01ProcessLaunch|DS009EndPointIntel-ET03ProcessLaunchwithCLI|DS009EndPointIntel-ET04ProcessLaunchWithHash|VendorSpecific-Crowdstrike",,,
"Azure__Security_Audit",Azure,"Security Audit",,sourcetype,"^mscs:azure:security:recommendation$","sourcetype=mscs:azure:security:recommendation",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Azure__Security_Audit",Azure,"Security Center (Alert(",,sourcetype,"^azure:eventhub:activity$","sourcetype=mscs:azure:security:recommendation",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Azure__Security_Audit",Azure,"Azure Security",,sourcetype,"^mscs:azure:eventhub$","sourcetype=mscs:azure:eventhub",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Azure__Security_Audit",Azure,"Azure Security",,sourcetype,"^mscs:azure:security:alert$","sourcetype=mscs:azure:security:alert",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Azure__Security_Audit",Azure,"Azure Security",,sourcetype,"^azure:securityCenter:alert$","sourcetype=azure:securityCenter:alert",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Azure__Security_Audit",Azure,"Azure Security",,sourcetype,"^mscs:azure:security:recommendation$","sourcetype=mscs:azure:security:recommendation",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Blue_Coat__ProxyAV","Blue Coat",ProxyAV,,sourcetype,"^(bluecoat:proxysg:access.*|bcoat_proxy)$","sourcetype=bluecoat:proxysg:access* OR sourcetype=bcoat_proxy",,,"DS005WebProxyRequest-ET01Requested",,,
"Bluecat_DHCP",Bluecat,DHCP,,sourcetype,"^syslog:bluecat|bluecat:dhcp.*$","sourcetype=syslog:bluecat OR sourcetype=bluecat:dhcp*",,"TERM(dhcpd)","DS025IPAddressAssignment-ET01General",,,
"Bluecat_DNS",Bluecat,DNS,,sourcetype,"^syslog:bluecat|bluecat:dns:edge|bluecat:dns.*$","sourcetype=syslog:bluecat OR sourcetype=bluecat:dns:edge OR sourcetype=bluecat:dns*",,"TERM(named)","DS002DNS-ET01QueryResponse|DS002DNS-ET01QueryRequest|DS002DNS-ET01Query",,,
"Box__Audit_Logs",Box,"Audit Logs",,sourcetype,"^(box:.*|box)$","sourcetype=box:* OR sourcetype=box",,,"VendorSpecific-Box",,,
"Bro__Conn",Bro,Conn,,sourcetype,"^bro_conn|bro:conn:json$","sourcetype=bro_conn OR sourcetype=bro:conn:json",,,"DS010NetworkCommunication-ET01Traffic",,,
"Bro__DHCP",Bro,DHCP,,sourcetype,"^bro_dhcp|bro:dhcp:json$","sourcetype=bro_dhcp OR sourcetype=bro:dhcp:json",,,"DS025IPAddressAssignment-ET01General",,,
"Bro__DNS",Bro,DNS,,sourcetype,"^bro_dns|bro:dns:json$","sourcetype=bro_dns OR sourcetype=bro:dns:json",,,"DS002DNS-ET01QueryResponse|DS002DNS-ET01QueryRequest|DS002DNS-ET01Query",,,
"Bro__FTP",Bro,FTP,,sourcetype,"^bro_ftp|bro:ftp:json$","sourcetype=bro_ftp OR sourcetype=bro:ftp:json",,,"DS010NetworkCommunication-ET01TrafficAppAware",,,
"Bro__HTTP",Bro,HTTP,,sourcetype,"^bro_http|bro:ftp:json$","sourcetype=bro_http OR sourcetype=bro:http:json",,,"DS014WebServer-ET01Access",,,
"Bro__Notice",Bro,Notice,,sourcetype,"^bro_notice|bro:notice:json$","sourcetype=bro_notice OR sourcetype=bro:notice:json",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Bro__SMTP",Bro,SMTP,,sourcetype,"^bro_smtp|bro:smtp:json$","sourcetype=bro_smtp OR sourcetype=bro:smtp:json",,,"DS001MAIL-ET02Receive|DS001MAIL-ET03Send",,,
"Bro__SSH",Bro,SSH,,sourcetype,"^bro_ssh|bro:ssh:json$","sourcetype=bro_ssh OR sourcetype=bro:ssh:json",,,"DS010NetworkCommunication-ET01TrafficAppAware",,,
"Bro__SSL",Bro,SSL,,sourcetype,"^bro_ssl|bro:ssl:json$","sourcetype=bro_ssl OR sourcetype=bro:ssh:json",,,"DS010NetworkCommunication-ET01TrafficAppAware",,,
"Check_Point__Anti-Bot","Check Point","Anti-Bot",,sourcetype,"^opsec:anti_bot$","sourcetype=opsec:anti_bot",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Check_Point__Application_Control","Check Point","Application Control",,sourcetype,"^opsec:app_control$","sourcetype=opsec:app_control",,,"DS010NetworkCommunication-ET01TrafficAppAware",,,
"Check_Point__DLP","Check Point",DLP,,sourcetype,"^opsec:dlp$","sourcetype=opsec:dlp",,,"DS016DataLossPrevention-ET01Violation",,,
"Check_Point__Firewall","Check Point",Firewall,,sourcetype,"^opsec:firewall$","sourcetype=opsec:firewall",,,"DS010NetworkCommunication-ET01Traffic",,,
"Check_Point__IPS","Check Point",IPS,,sourcetype,"^opsec:smartdefense$","sourcetype=opsec:smartdefense",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Check_Point__Network_Anti-Virus","Check Point","Network Anti-Virus",,sourcetype,"^(opsec:anti_malware|opsec:anti_virus)$","sourcetype=opsec:anti_malware OR sourcetype=opsec:anti_virus",,,"DS004EndPointAntiMalware-ET01SigDetected",,,
"Check_Point__Threat_Emulation","Check Point","Threat Emulation",,sourcetype,"^opsec:threat_emulation$","sourcetype=opsec:threat_emulation",,,"DS011MalwareDetonation-ET01Detection",,,
