protocol_code,protocol,transport,protocol_full_name
99,None,None,any private encryption scheme
100,GMTP,GMTP,GMTP
101,IFMP,IFMP,Ipsilon Flow Management Protocol
102,PNNI,PNNI,PNNI over IP
103,PIM,PIM,Protocol Independent Multicast
104,ARIS,ARIS,ARIS
105,SCPS,SCPS,SCPS
106,QNX,QNX,QNX
107,A/N,A/N,Active Networks
108,IPComp,IPComp,IP Payload Compression Protocol
109,SNP,SNP,Sitara Networks Protocol
110,Compaq-Peer,Compaq-Peer,Compaq Peer Protocol
111,IPX-in-IP,IPX-in-IP,IPX in IP
112,VRRP,VRRP,Virtual Router Redundancy Protocol
113,PGM,PGM,PGM Reliable Transport Protocol
114,None,None,any 0-hop protocol
115,L2TP,L2TP,Layer Two Tunneling Protocol
116,DDX,DDX,D-II Data Exchange (DDX)
117,IATP,IATP,Interactive Agent Transfer Protocol
118,STP,STP,Schedule Transfer Protocol
119,SRP,SRP,SpectraLink Radio Protocol
120,UTI,UTI,UTI
121,SMP,SMP,Simple Message Protocol
122,SM (deprecated),SM (deprecated),Simple Multicast Protocol
123,PTP,PTP,Performance Transparency Protocol
124,ISIS over IPv4,ISIS over IPv4,
125,FIRE,FIRE,
126,CRTP,CRTP,Combat Radio Transport Protocol
127,CRUDP,CRUDP,Combat Radio User Datagram
128,SSCOPMCE,SSCOPMCE,
129,IPLT,IPLT,
130,SPS,SPS,Secure Packet Shield
131,PIPE,PIPE,Private IP Encapsulation within IP
132,SCTP,SCTP,Stream Control Transmission Protocol
133,FC,FC,Fibre Channel
134,RSVP-E2E-IGNORE,RSVP-E2E-IGNORE,
135,Mobility Header,Mobility Header,
136,UDPLite,UDPLite,
137,MPLS-in-IP,MPLS-in-IP,
138,manet,manet,MANET Protocols
139,HIP,HIP,Host Identity Protocol
140,Shim6,Shim6,Shim6 Protocol
141,WESP,WESP,Wrapped Encapsulating Security Payload
142,ROHC,ROHC,Robust Header Compression
143,Unassigned,Unassigned,Unassigned
144,Unassigned,Unassigned,Unassigned
145,Unassigned,Unassigned,Unassigned
146,Unassigned,Unassigned,Unassigned
147,Unassigned,Unassigned,Unassigned
148,Unassigned,Unassigned,Unassigned
149,Unassigned,Unassigned,Unassigned
150,Unassigned,Unassigned,Unassigned
151,Unassigned,Unassigned,Unassigned
152,Unassigned,Unassigned,Unassigned
153,Unassigned,Unassigned,Unassigned
154,Unassigned,Unassigned,Unassigned
155,Unassigned,Unassigned,Unassigned
156,Unassigned,Unassigned,Unassigned
157,Unassigned,Unassigned,Unassigned
158,Unassigned,Unassigned,Unassigned
159,Unassigned,Unassigned,Unassigned
160,Unassigned,Unassigned,Unassigned
161,Unassigned,Unassigned,Unassigned
162,Unassigned,Unassigned,Unassigned
163,Unassigned,Unassigned,Unassigned
164,Unassigned,Unassigned,Unassigned
165,Unassigned,Unassigned,Unassigned
166,Unassigned,Unassigned,Unassigned
167,Unassigned,Unassigned,Unassigned
168,Unassigned,Unassigned,Unassigned
169,Unassigned,Unassigned,Unassigned
170,Unassigned,Unassigned,Unassigned
171,Unassigned,Unassigned,Unassigned
172,Unassigned,Unassigned,Unassigned
173,Unassigned,Unassigned,Unassigned
174,Unassigned,Unassigned,Unassigned
175,Unassigned,Unassigned,Unassigned
176,Unassigned,Unassigned,Unassigned
177,Unassigned,Unassigned,Unassigned
178,Unassigned,Unassigned,Unassigned
179,Unassigned,Unassigned,Unassigned
180,Unassigned,Unassigned,Unassigned
181,Unassigned,Unassigned,Unassigned
182,Unassigned,Unassigned,Unassigned
183,Unassigned,Unassigned,Unassigned
184,Unassigned,Unassigned,Unassigned
185,Unassigned,Unassigned,Unassigned
186,Unassigned,Unassigned,Unassigned
187,Unassigned,Unassigned,Unassigned
188,Unassigned,Unassigned,Unassigned
189,Unassigned,Unassigned,Unassigned
190,Unassigned,Unassigned,Unassigned
191,Unassigned,Unassigned,Unassigned
192,Unassigned,Unassigned,Unassigned
193,Unassigned,Unassigned,Unassigned
194,Unassigned,Unassigned,Unassigned
195,Unassigned,Unassigned,Unassigned
196,Unassigned,Unassigned,Unassigned
197,Unassigned,Unassigned,Unassigned
198,Unassigned,Unassigned,Unassigned
199,Unassigned,Unassigned,Unassigned
200,Unassigned,Unassigned,Unassigned
201,Unassigned,Unassigned,Unassigned
202,Unassigned,Unassigned,Unassigned
203,Unassigned,Unassigned,Unassigned
204,Unassigned,Unassigned,Unassigned
205,Unassigned,Unassigned,Unassigned
206,Unassigned,Unassigned,Unassigned
207,Unassigned,Unassigned,Unassigned
208,Unassigned,Unassigned,Unassigned
209,Unassigned,Unassigned,Unassigned
210,Unassigned,Unassigned,Unassigned
211,Unassigned,Unassigned,Unassigned
212,Unassigned,Unassigned,Unassigned
213,Unassigned,Unassigned,Unassigned
214,Unassigned,Unassigned,Unassigned
215,Unassigned,Unassigned,Unassigned
216,Unassigned,Unassigned,Unassigned
217,Unassigned,Unassigned,Unassigned
218,Unassigned,Unassigned,Unassigned
219,Unassigned,Unassigned,Unassigned
220,Unassigned,Unassigned,Unassigned
221,Unassigned,Unassigned,Unassigned
222,Unassigned,Unassigned,Unassigned
223,Unassigned,Unassigned,Unassigned
224,Unassigned,Unassigned,Unassigned
225,Unassigned,Unassigned,Unassigned
226,Unassigned,Unassigned,Unassigned
227,Unassigned,Unassigned,Unassigned
228,Unassigned,Unassigned,Unassigned
229,Unassigned,Unassigned,Unassigned
230,Unassigned,Unassigned,Unassigned
231,Unassigned,Unassigned,Unassigned
232,Unassigned,Unassigned,Unassigned
233,Unassigned,Unassigned,Unassigned
234,Unassigned,Unassigned,Unassigned
235,Unassigned,Unassigned,Unassigned
236,Unassigned,Unassigned,Unassigned
237,Unassigned,Unassigned,Unassigned
238,Unassigned,Unassigned,Unassigned
239,Unassigned,Unassigned,Unassigned
240,Unassigned,Unassigned,Unassigned
241,Unassigned,Unassigned,Unassigned
242,Unassigned,Unassigned,Unassigned
243,Unassigned,Unassigned,Unassigned
244,Unassigned,Unassigned,Unassigned
245,Unassigned,Unassigned,Unassigned
246,Unassigned,Unassigned,Unassigned
247,Unassigned,Unassigned,Unassigned
248,Unassigned,Unassigned,Unassigned
249,Unassigned,Unassigned,Unassigned
250,Unassigned,Unassigned,Unassigned
251,Unassigned,Unassigned,Unassigned
252,Unassigned,Unassigned,Unassigned
253,None,None,Use for experimentation and testing
254,None,None,Use for experimentation and testing
255,Reserved,Reserved,Reserved
